vin,厂家：,品牌：,车型：,VIN年份：,变速器描述：,底盘号：,驱动方式：,停产年份：
LSGBE5447GG108285,上汽通用,雪佛兰,科鲁兹,2016,手自一体变速器(AMT),J400,前轮驱动,2016
WVWLR57N7EV017194,大众汽车,大众,Sharan [夏朗],2014,双离合变速器(DSG),A5(7N),前轮驱动,2014
LSGPC54R9EF086946,上海通用,雪佛兰,科鲁兹,2014,手自一体变速器(AMT),J300,前轮驱动,2014
WBAVL310XBVN95343,宝马汽车,宝马,X1 sDrive18i,2011,手自一体变速器(AMT),E84,后轮驱动,2012
LFPM4ACP5B1A90878,一汽马自达,马自达,马自达6 睿翼,2011,手自一体变速器(AMT),GH,前轮驱动,2012
LFV2B28V3J5425188,一汽大众(奥迪),奥迪,A3 Sportback,2018,双离合变速器(DCT),8VA,前轮驱动,2019
WBS1H9100H7A18061,宝马汽车,宝马,M2 Coupe [M2 双门轿跑车],2017,双离合变速器(DCT),F87,后轮驱动,2017
WAUAYC8P3CA003857,奥迪汽车,奥迪,A3 Sportback,2012,双离合变速器(DCT),8PA,前轮驱动,2015
WMWXR3103KTP49748,宝马汽车,MINI,Mini Cooper,2019,双离合变速器(DCT),F56,前轮驱动,—
LSJA16E30BG069593,上海汽车,荣威,350S,2011,自动变速器(AT),,前轮驱动,2011
LGBH52E07DY040309,东风日产,日产,轩逸,2013,无级变速器(CVT),B17,前轮驱动,2016
LSGGA54Y3DH171152,上海通用,别克,君威,2013,手自一体变速器(AMT),SGM E10,前轮驱动,2013
LFMAPE2C0D3581411,一汽丰田,丰田,卡罗拉,2013,自动变速器(AT),E150,前轮驱动,2013
JF1BR96D5BG046825,斯巴鲁汽车,斯巴鲁,Outback [傲虎],2011,无级变速器(CVT),BR,全时四驱,2012
LBVKY9104KSU88376,华晨宝马,宝马,530Le,2019,手自一体变速器(AMT),G38,后轮驱动,2019
LFMK440F3J3382854,一汽丰田,丰田,RAV4荣放,2018,无级变速器(CVT),XA40,前轮驱动,2019
WDDWJ4CB8JF694484,奔驰汽车,奔驰,C 200 Coupe,2018,手自一体变速器(AMT),C205,后轮驱动,2018
LE4WG4AB4FL045263,北京奔驰,奔驰,C 180 L,2015,手自一体变速器(AMT),W205,后轮驱动,2015
LGBF1DE07CR117395,东风日产,日产,天籁·公爵,2012,无级变速器(CVT),J32,前轮驱动,2013
LE4WG7GB9LL631333,北京奔驰,奔驰,C 200 L,2020,手自一体变速器(AMT),W205,后轮驱动,2020
LSJW16G65BJ010779,上海汽车,荣威,750D,2011,自动变速器(AT),,前轮驱动,2011
LSVFX6181E2312379,上海大众,大众,朗行,2014,双离合变速器(DSG),A4,前轮驱动,2015
LSVG026R7E2139390,上海大众,大众,POLO,2014,手自一体变速器(AMT),A05,前轮驱动,2016
LDC943X4XD1605046,神龙汽车,标致,408,2013,手自一体变速器(AMT),,前轮驱动,2014
WBA8X310XHG836641,宝马汽车,宝马,GT 320i,2018,手自一体变速器(AMT),F34,后轮驱动,2017
LVGBY80E3GG008751,广汽丰田,丰田,雷凌双擎,2016,无级变速器(E-CVT),E180,前轮驱动,2017
LFV3A28K9G3038095,一汽大众(奥迪),奥迪,A4L,2016,无级变速器(CVT),B8(8K),前轮驱动,2016
WVWCS77N6JV042422,大众汽车,大众,Sharan [夏朗],2018,双离合变速器(DSG),A5(7N),前轮驱动,2019
WVWCR23C7KE014567,大众汽车,大众,B8 Variant [蔚揽],2019,双离合变速器(DSG),B8(3G),前轮驱动,—
LVSHCAAC19F362425,长安福特马自达,福特,福克斯-两厢,2009,手自一体变速器(AMT),C307,前轮驱动,2010
LVGBR74K5KG105787,广汽丰田,丰田,凯美瑞,2019,手自一体变速器(AMT),XV70,前轮驱动,2019
LBV8W3105KMP24289,华晨宝马,宝马,320Li,2019,手自一体变速器(AMT),F35,后轮驱动,2019
LVRFDAAB3DN578921,长安马自达,马自达,马自达3星骋-两厢,2013,手自一体变速器(AMT),BL,前轮驱动,2014
WMWYS5109J3D71179,宝马汽车,MINI,Cooper Countryman All 4,2018,手自一体变速器(AMT),F60,适时四驱,2018
LVSFDAAA8AN031502,长安福特马自达,马自达,马自达2,2010,自动变速器(AT),DE,前轮驱动,2010
LHGGK5853H8060122,广汽本田,本田,飞度,2017,无级变速器(CVT),GK5,前轮驱动,2018
WDCGG8BB0BF670312,奔驰汽车,奔驰,GLK 300 4MATIC,2011,手自一体变速器(AMT),X204,全时四驱,2011
LSYYBADC86K024633,华晨汽车,中华,骏捷,2006,手动变速器(MT),,前轮驱动,2008
LE4GG3HB6FL400261,北京奔驰,奔驰,GLK 260 4MATIC,2015,手自一体变速器(AMT),X204,全时四驱,2015
LC0CE4DC7J0124428,比亚迪汽车,比亚迪,元EV360,2018,固定齿比变速器,,前轮驱动,2019
LBELMBKC6EY449189,北京现代,现代,ix35,2014,手自一体变速器(AMT),LM,前轮驱动,2015
LBVKY1102KSS52214,华晨宝马,宝马,525Li,2019,手自一体变速器(AMT),G38,后轮驱动,2019
LS5W3ABE2CB076888,长安铃木,铃木,雨燕,2012,手动变速器(MT),,前轮驱动,2013
L6T7844Z5DN125190,吉利汽车,帝豪,EC7,2013,无级变速器(CVT),,前轮驱动,2013
SALWA2FF1FA523151,路虎汽车,路虎,Range Rover Sport [揽胜运动版],2015,手自一体变速器(AMT),L494,全时四驱,2015
LSVGY26R0E2060829,上海大众,大众,POLO,2014,手自一体变速器(AMT),A05,前轮驱动,2016
LSVGL618XG2054480,上海大众,大众,朗行,2016,手自一体变速器(AMT),A4,前轮驱动,2017
LFV2B25G7H5091246,一汽大众,大众,高尔夫7,2017,手自一体变速器(AMT),MQB(5G),前轮驱动,2017
LJDGAA223A0150510,东风悦达起亚,起亚,福瑞迪,2010,手自一体变速器(AMT),TD,前轮驱动,2010
LB37742S9JH119139,吉利汽车,吉利,帝豪GS,2018,手动变速器(MT),,前轮驱动,2018
LE4WF4CB5JL406010,北京奔驰,奔驰,C 200,2018,手自一体变速器(AMT),W205,后轮驱动,2018
LSVUB65N9A2919713,上海大众,大众,途观,2010,手自一体变速器(AMT),A5,前轮驱动,2011
LJDMAA220G0668702,东风悦达起亚,起亚,K3,2016,手动变速器(MT),,前轮驱动,2019
LBV8W3101JMK50727,华晨宝马,宝马,320Li,2017,手自一体变速器(AMT),F35,后轮驱动,2018
LFV3B28R9D3065190,一汽大众(奥迪),奥迪,Q5,2013,手自一体变速器(AMT),B8(8R),全时四驱,2015
LVSHCFAL5GE044761,长安福特,福特,福克斯-三厢,2016,手自一体变速器(AMT),C346,前轮驱动,2016
LBVUG7105GME42134,华晨宝马,宝马,X1 sDrive18i,2015,手自一体变速器(AMT),E84,后轮驱动,2015
LFMA8E2AXF0110396,一汽丰田,丰田,威驰,2015,自动变速器(AT),XP150,前轮驱动,2016
LB37724S0FX122610,吉利汽车,吉利,远景,2015,手动变速器(MT),,前轮驱动,2016
LS5A33BEXEB310686,长安铃木,铃木,锋驭,2014,手动变速器(MT),,前轮驱动,2015
LFMBEC4D5D0151220,一汽丰田,丰田,锐志,2013,手自一体变速器(AMT),X130,后轮驱动,2013
LFV2A28V9L5208556,一汽大众(奥迪),奥迪,A3 Limousine,2020,双离合变速器(DCT),8VS,前轮驱动,—
LFV2A28V6G5009406,一汽大众(奥迪),奥迪,A3 Limousine,2016,双离合变速器(DCT),8VS,前轮驱动,2017
WP1AG2920GLA26380,保时捷汽车,保时捷,Cayenne [卡宴],2016,手自一体变速器(AMT),92A,全时四驱,2016
LSVET69F5A2597933,上海大众,大众,帕萨特 领驭,2010,手自一体变速器(AMT),B5(3B),前轮驱动,2012
LBERCADB5CXZ81530,北京现代,现代,瑞纳-三厢,2012,自动变速器(AT),RB,前轮驱动,2014
LFV2A215XD3035573,一汽大众,大众,宝来,2013,手自一体变速器(AMT),,前轮驱动,2014
LVSHCFMB9DE173388,长安福特,福特,福克斯-三厢,2013,手动变速器(MT),C346,前轮驱动,2015
LGBG22E09EY657314,东风日产,日产,骐达,2014,无级变速器(CVT),C12,前轮驱动,2014
LBV2Y3103KMR16763,华晨宝马,宝马,118i,2019,手自一体变速器(AMT),F52,前轮驱动,2019
